선수명,english_name,birth_date_statiz,wiki_exists,birth_date_match,league_separated,asia_league_experience,asia_league_detail,needs_review,review_reason
앨버트 수아레즈,Albert Joe Suárez,1989-10-08,Y,Y,Y,Y,NPB Tokyo Yakult Swallows 2019-2021 (KBO 입단 이전),N,
로니 윌리엄스,Ronnie Ellis Williams,1996-01-06,Y,Y,Y,N,,N,
션 놀린,Sean Patrick Nolin,1989-12-26,Y,Y,Y,Y,NPB Saitama Seibu Lions 2020 (KBO 입단 이전),N,
토마스 파노니,Thomas Edward Pannone Jr,1994-04-28,Y,Y,Y,N,,N,
찰리 반스,Charlie Barnes,1995-10-01,Y,Y,Y,N,,N,
글렌 스파크맨,Glenn Sparkman,1992-05-11,Y,Y,Y,Y,NPB Orix Buffaloes 2021 (KBO 입단 이전),N,
예프리 라미레즈,Yefry Ramírez Alcala,1993-11-28,Y,Y,Y,N,,N,
펠릭스 페냐,Félix Ricardo Peña,1990-02-25,Y,Y,Y,N,,N,CPBL Uni-President Lions 경력 있으나 KBO(2022) 이후라 제외
맷 더모디,Matt Dermody,1990-07-04,Y,Y,Y,Y,NPB Saitama Seibu Lions 2021 (KBO 입단 이전),N,
웨스 벤자민,Wes Benjamin,1993-07-26,Y,Y,Y,N,,N,
이반 노바,Iván Nova,1987-01-12,Y,Y,Y,N,,N,
숀 모리만도,Shawn Morimando,1992-11-20,Y,Y,Y,Y,CPBL CTBC Brothers 2021-2022 (KBO 입단 이전),N,
타일러 애플러,Tyler Austin Eppler,1993-01-05,Y,Y,Y,Y,NPB Orix Buffaloes 2019 (KBO 입단 이전),N,
딜런 파일,Dylan Michael File,1996-06-04,Y,Y,Y,N,,N,
아도니스 메디나,Adonis Medina,1996-12-18,Y,Y,Y,N,,N,
숀 앤더슨,Shaun Anderson,1994-10-29,Y,Y,Y,N,,N,
마리오 산체스,Mario Sanchez,1994-10-31,Y,Y,Y,Y,CPBL Uni-President 7-Eleven Lions 2023 (KBO 입단 이전),N,
애런 윌커슨,Aaron Wilkerson,1989-05-24,Y,Y,Y,Y,NPB Hanshin Tigers 2022 (KBO 입단 이전),N,
버치 스미스,Burch Taylor Smith,1990-04-12,Y,Y,Y,Y,NPB Saitama Seibu Lions 2022 (KBO 입단 이전),N,
리카르도 산체스,Ricardo Jose Sánchez,1997-04-11,Y,Y,Y,N,,N,
에릭 페디,Erick James Fedde,1993-02-25,Y,Y,Y,N,,N,
태너 털리,Tanner Paul Tully,1994-11-30,Y,Y,Y,N,,N,
커크 맥카티,Kirkland Kirk McCarty,1995-10-12,Y,Y,Y,N,,N,CPBL CTBC Brothers 경력 있으나 KBO(2023) 이후라 제외
로에니스 엘리아스,Roenis Elías,1988-08-01,Y,Y,Y,N,,N,CPBL Fubon Guardians 2025 경력 있으나 KBO(2023) 이후라 제외
아리엘 후라도,Ariel Bolívar Jurado Agrazal,1996-01-30,Y,Y,Y,N,,N,
이안 맥키니,Ian McKinney,1994-11-18,N,UNKNOWN,UNKNOWN,,,N,위키백과 페이지 자체를 찾지 못함(뉴스/통계 사이트만 존재) — 결측 처리
조던 발라조빅,Jordan Balazovic,1998-09-17,Y,Y,Y,N,,N,CPBL Uni-President Lions 2026 경력 있으나 KBO(2024) 이후라 제외
코너 시볼드,Connor Seabold,1996-01-24,Y,Y,Y,N,,N,
데니 레예스,Denyi Reyes,1996-11-02,Y,Y,Y,N,,N,CPBL Uni-President Lions 2026 경력 있으나 KBO(2024) 이후라 제외
디트릭 엔스,Dietrich Arthur Enns,1991-05-16,Y,Y,Y,Y,NPB Saitama Seibu Lions 2022-2023 (KBO 입단 이전),N,
엘리에이저 에르난데스,Elieser Hernández,1995-05-03,Y,Y,Y,N,,N,
윌 크로우,William Chandler Crowe,1994-09-09,Y,Y,Y,N,,N,
캠 알드레드,Cam Alldred,1996-07-25,Y,Y,Y,N,,N,CPBL Uni-President Lions 2025 경력 있으나 KBO(2024) 이후라 제외
에릭 스타우트,Eric Stout,1993-03-27,Y,Y,Y,Y,CPBL CTBC Brothers 2023 (KBO 입단 이전),N,
에릭 라우어,Eric Lauer,1995-06-03,Y,Y,Y,N,,N,
제임스 네일,James Aubrey Naile,1993-02-08,Y,Y,Y,N,,N,
다니엘 카스타노,Daniel Alexander Castano,1994-09-17,Y,Y,Y,N,,N,
카일 하트,Kyle Patrick Hart,1992-11-23,Y,Y,Y,N,,N,
제이크 브리검,Jake Brigham,1988-02-10,Y,Y,Y,Y,NPB Tohoku Rakuten Golden Eagles 2016 (KBO 입단 이전),N,
테일러 와이드너,Taylor Browning Widener,1994-10-24,Y,Y,Y,N,,N,
보 슐서,Beau Grayson Sulser,1994-05-05,Y,Y,Y,N,,N,CPBL Rakuten Monkeys 2025 경력 있으나 KBO(2023) 이후라 제외
시라카와 케이쇼,Keisho Shirakawa,2001-06-04,Y,Y,Y,Y,"시코쿠 아일랜드리그 플러스(독립리그) Tokushima Indigo Socks 2020 (KBO 입단 이전) — 단 NPB 자체 경력은 없음(위키에 'KBO 일본인 선수 중 유일하게 NPB 미경력자'로 명시)",N,사용자 검토 후 확정(2026-08-15) — 독립리그도 NPB/CPBL과 동일하게 아시아 프로리그 경력으로 인정하기로 정책 확정, Y 유지
하이메 바리아,Jaime Barria,1996-07-18,Y,Y,Y,N,,N,
로버트 더거,Robert Lee Dugger,1995-07-03,Y,Y,Y,N,,N,
드류 앤더슨,Andrew James Anderson,1994-03-22,Y,Y,Y,Y,NPB Hiroshima Toyo Carp 2022-2023 (KBO 입단 이전),N,
엔마누엘 데 헤이수스,Enmanuel Jose De Jesus,1996-12-10,Y,Y,Y,N,,N,
콜 어빈,Cole Irvin,1994-01-31,Y,Y,Y,N,,N,
잭 로그,Zach Logue,1996-04-23,Y,Y,Y,N,,N,
헤르손 가라비토,Gerson Yeris Garabito,1995-08-19,Y,Y,Y,N,,N,
요니 치리노스,Yonny Chirinos,1993-12-26,Y,Y,Y,N,,N,
앤더스 톨허스트,Anders William Tolhurst,1999-09-13,Y,Y,Y,N,,N,
애덤 올러,Adam Oller,1994-10-17,Y,Y,Y,N,,N,
터커 데이비드슨,Tucker Davidson,1996-03-25,Y,Y,Y,N,,N,
빈스 벨라스케즈,Vincent John Velasquez,1992-06-07,Y,Y,Y,N,,N,
알렉 감보아,Alec Gamboa,1997-01-17,Y,Y,Y,N,,N,
로건 앨런,Logan Allen,1997-05-23,Y,Y,Y,N,,N,
라일리 톰프슨,Riley Thompson,1996-07-09,Y,Y,Y,N,,N,
패트릭 머피,Patrick Murphy,1995-06-10,Y,Y,Y,Y,NPB Hokkaido Nippon-Ham Fighters 2024 (KBO 입단 이전),N,
미치 화이트,Mitch White,1994-12-28,Y,Y,Y,N,,N,
케니 로젠버그,Kenny Rosenberg,1998-07-09,Y,N,Y,N,,N,"타임라인 대조로 동일인 재검증 완료(2026-08-15): 위키의 MLB 데뷔(2022-04-18 LA Angels)와 KBO 데뷔(2025 키움, 2024년 11월 계약)가 STATIZ 기록과 정확히 일치. 아시아 리그 경력 없음(N). 단 생년월일 불일치(1995 vs 1998)는 미해결 — MLB Stats API 단계에서 재검증 필요"
라클란 웰스,Lachlan Robert Wells,1997-02-27,Y,Y,Y,N,,N,
C.C 메르세데스,Cristopher Crisostomo Mercedes,1994-03-08,Y,Y,Y,Y,"NPB Yomiuri Giants 2017-2022, Chiba Lotte Marines 2023-2024; CPBL Uni-President Lions 2025 (모두 KBO 입단 이전)",N,
