연도,팀,선수명,대체영입여부,실전출전여부,비고,출처유형
2021,SSG,윌머 폰트,N,Y,,틀:SSG 랜더스 외국인 선수
2021,SSG,아티 르위키,N,Y,시즌 중 퇴출,뉴스 종합
2021,SSG,샘 가빌리오,Y,Y,르위키 대체 6월 입단,뉴스 종합
2021,키움,조시 스미스,N,Y,,위키백과 팀 문서
2022,두산,로버트 스탁,N,Y,,위키백과 팀 문서
2022,두산,브랜던 워델,N,Y,,위키백과 팀 문서
2022,삼성,앨버트 수아레즈,N,Y,,위키백과 팀 문서
2022,KIA,로니 윌리엄스,N,Y,6/28 웨이버 방출,뉴스 기사
2022,KIA,션 놀린,N,Y,,틀:2022년 KBO 리그 외국인 선수
2022,KIA,토마스 파노니,Y,Y,로니 윌리엄스 대체 6/28 영입,뉴스 기사
2022,롯데,찰리 반스,N,Y,,위키백과 팀 문서
2022,롯데,글렌 스파크맨,N,Y,,위키백과 팀 문서
2022,한화,예프리 라미레즈,Y,Y,대체 영입,틀:2022년 KBO 리그 외국인 선수
2022,한화,펠릭스 페냐,Y,Y,대체 영입,틀:2022년 KBO 리그 외국인 선수
2022,NC,맷 더모디,Y,Y,웨스 파슨스 방출 후 8/7 대체 영입,뉴스 기사
2022,kt,웨스 벤자민,N,Y,,위키백과 팀 문서
2022,SSG,이반 노바,N,Y,시즌 중 퇴출,뉴스 종합
2022,SSG,숀 모리만도,Y,Y,노바 대체 7/12 계약,뉴스 종합
2022,키움,타일러 애플러,N,Y,STATIZ 신인지명 2022 키움과 일치(G=33); 타 팀 이력 없음,STATIZ 확인
2023,두산,딜런 파일,N,Y,,위키백과 팀 문서
2023,NC,테일러 와이드너,N,Y,"STATIZ로 충돌 해결: 신인지명 '23 NC 자유선발', 2023-08-10 NC→삼성 트레이드. NC가 정답 확정(삼성은 시즌 중 이적처일 뿐 별도 신규 아님)",STATIZ 확인
2023,KIA,아도니스 메디나,N,Y,성적 부진으로 방출,틀:2023년 KBO 리그 외국인 선수
2023,KIA,숀 앤더슨,N,Y,방출,틀:2023년 KBO 리그 외국인 선수
2023,KIA,마리오 산체스,N,Y,,틀:2023년 KBO 리그 외국인 선수
2023,롯데,애런 윌커슨,N,Y,,위키백과 팀 문서
2023,한화,버치 스미스,N,Y,어깨 부상으로 방출,틀:2023년 KBO 리그 외국인 선수
2023,한화,리카르도 산체스,Y,Y,대체 영입,틀:2023년 KBO 리그 외국인 선수
2023,NC,에릭 페디,N,Y,,나무위키 시즌 문서
2023,NC,태너 털리,Y,Y,대체 영입,나무위키 시즌 문서
2023,kt,보 슐서,N,Y,,위키백과 팀 문서
2023,SSG,커크 맥카티,N,Y,,뉴스 기사
2023,SSG,에니 로메로,N,N,"STATIZ 확인: 검색해도 선수 페이지 자체가 없음(동명이인 타자만 검색됨) — 0경기라 STATIZ가 페이지를 아예 안 만든 것으로 추정. WAR은 0이 아니라 데이터 자체가 존재하지 않음",STATIZ 확인(페이지 없음)
2023,SSG,로에니스 엘리아스,Y,Y,로메로 대체 5월경 영입,뉴스 기사
2023,키움,아리엘 후라도,N,Y,,나무위키 팀 문서
2023,키움,이안 맥키니,Y,Y,시즌 중 6월 입단,나무위키 팀 문서
2024,SSG,시라카와 케이쇼,Y,Y,"STATIZ로 충돌 해결: 신인지명 '24 SSG 부상 대체 선수', 2024-07-10 SSG→두산 트레이드. SSG가 정답 확정(두산 표기는 조사 오류였음)",STATIZ 확인
2024,두산,조던 발라조빅,N,Y,,위키백과 팀 문서
2024,삼성,코너 시볼드,N,Y,,위키백과 팀 문서
2024,삼성,데니 레예스,N,확인필요,,위키백과 팀 문서
2024,LG,디트릭 엔스,N,Y,,위키백과 팀 문서
2024,LG,엘리에이저 에르난데스,N,Y,국적 정보 원문에 없음,위키백과 팀 문서
2024,KIA,윌 크로우,N,Y,팔꿈치 부상으로 방출,틀:2024년 KBO 리그 외국인 선수
2024,KIA,캠 알드레드,Y,Y,임시 외국인 선수,틀:2024년 KBO 리그 외국인 선수
2024,KIA,에릭 스타우트,Y,Y,임시 외국인 선수,틀:2024년 KBO 리그 외국인 선수
2024,KIA,에릭 라우어,N,Y,,틀:2024년 KBO 리그 외국인 선수
2024,KIA,제임스 네일,N,Y,,틀:2024년 KBO 리그 외국인 선수
2024,NC,다니엘 카스타노,N,Y,7/28 웨이버 방출,나무위키 시즌 문서
2024,NC,카일 하트,N,Y,,구단 공식 발표
2024,한화,라이언 와이스,Y,Y,STATIZ 신인지명 '24 한화 부상 대체 선수'로 일치; 리카르도 산체스 대체 6/17 입단,STATIZ 확인
2024,한화,하이메 바리아,N,Y,,틀:2024년 KBO 리그 외국인 선수
2024,SSG,로버트 더거,N,Y,STATIZ 신인지명 2024 SSG와 일치(G=6 IP=22.2 ERA12.71); 부진으로 시즌 중 교체,STATIZ 확인
2024,SSG,드류 앤더슨,Y,Y,STATIZ 활약연도 2024~2025 SSG와 일치; 더거 대체 5/3 입국(STATIZ 계약구분란엔 '자유선발'로만 표기),STATIZ 확인
2024,키움,엔마누엘 데 헤이수스,N,Y,STATIZ 신인지명 2024 키움과 일치(G=30 IP=171.1),STATIZ 확인
2025,두산,콜 어빈,N,Y,,위키백과 팀 문서
2025,두산,잭 로그,N,Y,,위키백과 팀 문서
2025,삼성,헤르손 가라비토,N,Y,,위키백과 팀 문서
2025,삼성,미야모리 사토시,N,Y,일본 국적,위키백과 팀 문서
2025,LG,요니 치리노스,N,Y,신규영입 후 시즌 중 퇴출,위키백과 팀 문서
2025,LG,앤더스 톨허스트,N,Y,,위키백과 팀 문서
2025,KIA,애덤 올러,N,Y,계약금 20만+연봉 60만+옵션 20만 총액 100만 달러,틀:2025년 KBO 리그 외국인 선수
2025,롯데,터커 데이비드슨,N,Y,성적 부진으로 방출,틀:2025년 KBO 리그 외국인 선수
2025,롯데,빈스 벨라스케즈,Y,Y,대체 영입,틀:2025년 KBO 리그 외국인 선수
2025,롯데,알렉 감보아,Y,Y,대체 영입,틀:2025년 KBO 리그 외국인 선수
2025,한화,코디 폰세,N,Y,,틀:2025년 KBO 리그 외국인 선수
2025,NC,로건 앨런,N,Y,,위키백과 틀 문서
2025,NC,라일리 톰프슨,N,Y,"계약금 13만+연봉 52만+옵션 25만 총액 90만 달러, 30경기 17승7패 ERA3.45",구단 공식 발표
2025,kt,패트릭 머피,Y,Y,쿠에바스 대체 7/11 영입,뉴스 기사
2025,SSG,미치 화이트,N,Y,11/16 계약,뉴스 기사
2025,키움,케니 로젠버그,N,Y,7월 방출,나무위키 팀 문서
2025,키움,라클란 웰스,Y,Y,시즌 중 6월 입단,나무위키 팀 문서
2025,키움,C.C 메르세데스,Y,Y,시즌 중 8월 입단,나무위키 팀 문서
